,summary
627,1
629,2
630,1
631,5
632,1
633,3
634,3
635,2
636,5
639,2
640,4
641,5
642,1
643,5
644,1
645,1
646,4
647,1
648,1
649,2
650,3
651,1
652,1
653,4
654,2
655,4
656,1
657,5
658,2
659,1
660,3
661,2
662,3
663,1
664,4
665,3
666,2
667,1
668,2
669,2
670,5
671,1
672,3
673,1
674,2
675,2
676,2
677,2
678,1
679,2
680,4
681,4
684,1
685,2
686,3
687,4
688,3
689,2
690,5
691,2
692,1
693,3
694,1
695,1
696,1
697,4
698,5
699,4
701,1
702,1
703,2
704,3
705,2
707,2
708,1
709,2
710,1
711,1
712,2
714,2
715,1
716,2
717,3
718,4
719,1
720,2
721,2
722,2
723,2
724,1
725,3
727,1
728,1
729,1
730,1
731,2
732,5
733,5
734,2
735,2
736,3
737,2
738,4
739,2
740,2
741,3
742,3
743,3
745,1
746,2
747,1
748,2
749,2
751,1
752,5
753,3
754,1
755,1
756,5
757,2
759,1
760,1
761,2
762,3
763,2
764,4
765,2
766,5
768,1
769,4
770,1
771,2
772,3
773,4
774,4
775,2
776,1
777,2
778,5
779,2
780,1
781,3
782,1
783,2
784,4
785,5
786,4
787,2
788,3
789,5
790,2
791,3
792,1
793,4
794,2
795,3
796,1
797,2
798,1
799,2
800,1
802,1
803,4
804,3
806,3
807,4
808,4
809,1
811,2
812,3
813,1
814,2
815,3
816,1
817,1
818,3
819,1
820,3
821,2
822,2
823,1
824,3
825,1
826,5
827,1
828,5
829,2
830,4
831,1
832,3
833,2
834,2
835,3
836,2
837,1
838,5
839,1
840,1
841,2
842,2
843,1
845,5
846,1
847,2
848,3
849,2
850,2
851,2
852,5
853,4
854,4
855,2
856,1
857,2
858,1
859,5
860,5
861,1
862,2
863,3
864,1
865,2
866,3
867,1
868,5
869,1
870,1
871,3
872,5
873,1
874,2
875,5
876,2
877,3
879,3
880,1
881,3
884,2
885,1
886,1
887,1
888,4
889,1
890,1
891,1
892,3
893,3
894,2
895,2
896,3
897,3
898,2
899,2
900,1
901,1
902,4
903,1
904,3
905,2
906,1
907,4
908,1
909,1
910,3
911,2
912,2
913,3
914,4
915,2
916,3
917,1
918,1
919,4
920,1
921,1
922,2
923,1
924,1
925,1
926,1
927,3
928,3
929,1
930,1
931,4
932,3
933,5
935,2
937,1
938,4
939,3
941,1
942,1
943,1
944,3
945,1
946,1
947,2
948,3
949,5
950,1
951,1
952,5
954,2
955,3
956,2
957,3
958,4
959,1
960,1
961,1
962,5
964,2
966,2
967,4
968,2
969,1
970,2
971,1
972,5
973,2
975,5
976,1
977,3
978,2
979,4
980,2
981,3
982,2
983,3
984,3
985,2
986,3
987,1
988,2
989,5
990,5
991,2
992,3
993,3
994,1
995,1
996,1
997,3
998,1
999,1
1000,3
1001,4
1002,3
1003,2
1004,3
1005,4
1006,2
1007,1
1008,2
1010,2
1011,3
1012,3
1013,2
1014,3
1015,1
1016,5
1017,1
1018,1
1019,1
1020,1
1021,5
1022,1
1023,2
1024,1
1025,3
1026,5
1027,5
1028,3
1029,1
1030,1
1031,3
1032,3
1033,1
1034,5
1035,1
1036,1
1037,1
1038,2
1039,2
1040,1
1041,2
1042,3
1043,3
1044,4
1045,2
1046,2
1047,2
1048,2
1049,3
1050,1
1051,2
1052,2
1053,2
1054,2
1055,4
1056,1
1057,1
1059,2
1060,3
1061,1
1062,3
1063,1
1064,4
1065,1
1066,2
1067,1
1068,2
1069,2
1070,1
1071,2
1072,2
1073,3
1074,3
1075,3
1076,1
1077,3
1078,2
1079,1
1080,2
1081,2
1083,3
1084,2
1085,3
1086,4
1087,1
1088,1
1089,1
1091,1
1092,1
1093,4
1094,5
1095,1
1096,5
1097,4
1098,2
1099,5
1100,1
1101,4
1102,1
1103,3
1104,2
1105,1
1106,1
1107,1
1108,1
1109,2
1110,1
1111,2
1112,2
1113,2
1114,1
1115,4
1116,3
1117,1
1118,3
1119,5
1120,1
1121,2
1122,2
1123,2
1124,1
1125,1
1126,1
1127,2
1128,5
1129,3
1131,1
1133,2
1134,1
1135,2
1136,2
1137,2
1138,4
1139,1
1140,2
1141,2
1142,2
1143,2
1144,1
1145,1
1147,4
1148,2
1149,1
1150,1
1151,5
1152,1
1153,3
1154,3
1155,3
1156,2
1157,4
1158,3
1159,4
1160,1
1161,1
1162,2
1163,1
1164,2
1165,3
1166,4
1168,1
1169,1
1170,3
1171,1
1172,1
1173,4
1174,2
1175,4
1176,1
1177,3
1178,2
1179,2
1180,5
1181,2
1182,4
1183,2
1184,5
1186,3
1187,1
1188,3
1189,3
1191,4
1192,2
1193,1
1194,1
1195,3
1196,2
1197,1
1198,5
1199,2
1202,4
1203,2
1204,5
1205,2
1206,1
1207,3
1208,2
1209,2
1210,3
1211,1
1212,1
1213,1
1214,1
1215,3
1217,3
1218,3
1219,4
1220,2
1221,3
1222,2
1223,5
1225,1
1226,3
1227,3
1228,3
1229,1
1230,1
1231,2
1232,2
1233,5
1234,1
1235,4
1237,2
1239,2
1240,2
1242,1
1243,2
1244,2
1245,3
1246,2
1247,2
1248,4
1249,2
1250,5
1251,2
1252,1
1254,2
1255,1
1256,1
1258,1
1259,4
1260,2
1261,1
1262,1
1263,1
1264,5
1265,3
1266,4
1267,3
1268,2
1269,2
1270,3
1271,2
1272,2
1273,3
1274,1
1276,5
1277,5
1278,1
1279,3
1280,2
1281,1
1282,5
1283,3
1284,1
1285,1
1286,4
1287,3
1288,2
1289,1
1290,3
1291,1
1292,2
1294,2
1295,1
1296,1
1297,4
1298,2
1299,2
1301,2
1302,1
1303,4
1304,2
1305,1
1306,2
1307,1
1308,1
1309,3
1310,2
1311,1
1312,2
1313,3
1314,2
1315,1
1316,5
1317,1
1318,2
1319,5
1321,3
1322,5
1323,1
1324,3
1325,1
1327,4
1328,3
1329,3
1330,3
1331,1
1332,3
1333,5
1334,2
1335,3
1336,5
1337,5
1338,2
1339,2
1340,1
1341,2
1342,2
1343,1
1344,1
1345,1
1346,2
1347,3
1348,3
1349,5
1350,2
1351,2
1352,1
1353,2
1354,2
1355,4
1356,1
1357,1
1358,2
1359,3
1360,5
1361,4
1362,2
1363,2
1364,3
1365,5
1366,1
1367,1
1368,1
1369,3
1370,3
1371,2
1372,1
1373,1
1374,2
1375,1
1376,4
1377,5
1378,1
1379,5
1380,2
1381,1
1382,1
1384,4
1385,4
1386,1
1387,1
1388,1
1389,3
1390,5
1391,4
1392,2
1393,3
1394,1
1395,3
1396,1
1397,2
1398,2
1400,1
1401,3
1402,1
1403,2
1404,1
1405,1
1407,1
1408,1
1409,1
1410,3
1411,2
1412,2
1413,1
1414,1
1415,5
1416,1
1417,4
1418,1
1419,4
1420,2
1421,3
1422,2
1423,2
1424,4
1425,1
1426,4
1427,2
1428,1
1429,2
1430,1
1431,1
1432,2
1433,5
1434,1
1435,5
1436,1
1437,1
1438,1
1439,2
1440,3
1441,2
1442,1
1443,2
1444,2
1445,1
1446,2
1447,2
1448,1
1449,2
1450,1
1451,2
1452,1
1454,2
1455,2
1456,1
1457,1
1459,2
1460,2
1461,1
1462,3
1463,3
1464,3
1465,1
1466,3
1467,4
1468,2
1469,4
1471,1
1472,1
1473,1
1474,2
1475,3
1476,3
1479,1
1481,2
1482,1
1483,2
1484,1
1485,1
1486,2
1487,1
1488,4
1489,2
1490,4
1491,2
1492,2
1493,2
1494,1
1495,3
1496,3
1497,2
1498,1
1499,2
1500,5
1501,3
1502,2
1503,2
1504,2
1505,2
1506,1
1508,3
1510,2
1511,2
1512,2
1513,1
1514,4
1515,3
1516,1
1517,2
1518,1
1519,1
1520,3
1521,2
1522,5
1523,1
1524,5
1525,4
1526,1
1527,2
1528,2
1529,2
1530,1
1531,2
1532,2
1533,2
1534,4
1536,1
1537,1
1538,2
1539,1
1540,2
1541,2
1542,3
1543,1
1544,1
1545,2
1546,2
1547,1
1548,1
1549,1
1550,2
1551,4
1552,3
1553,4
1554,4
1555,2
1556,1
1557,4
1558,2
1559,2
1560,1
1561,1
1562,2
1563,2
1564,5
1565,1
1566,3
1567,2
1568,3
1569,5
1570,2
1571,2
1572,1
1573,2
1574,3
1575,1
1576,1
1577,1
1578,1
1580,1
1581,1
1582,4
1583,3
1584,5
1585,1
1586,2
1587,1
1588,2
1589,2
1590,1
1591,4
1592,1
1593,3
1594,2
1595,2
1596,1
1597,4
1598,2
1599,2
1600,1
1601,2
1602,3
1603,1
1604,4
1606,1
1607,1
1608,3
1609,3
1610,2
1611,1
1612,2
1613,2
1614,1
1615,4
1616,2
1618,1
1619,1
1620,2
1621,1
1622,5
1623,2
1624,3
1625,4
1626,2
1627,1
1628,1
1629,1
1630,3
1631,1
1632,3
1633,1
1634,3
1635,2
1636,5
1637,1
1638,5
1639,2
1640,1
1641,1
1642,2
1643,3
1644,1
1645,2
1646,5
1647,1
1648,4
1649,1
1650,3
1651,1
1652,1
1653,3
1654,3
1655,3
1656,1
1657,2
1658,1
1659,4
1660,2
1661,1
1662,1
1663,5
1664,1
1665,4
1666,1
1667,1
1668,5
1669,3
1670,1
1671,1
1672,1
1673,1
1674,1
1675,1
1676,1
1677,2
1678,1
1679,2
1680,1
1681,1
1682,1
1683,1
1684,1
1685,5
1686,3
1687,2
1688,3
1689,3
1690,2
1691,2
1692,2
1693,2
1694,5
1695,3
1696,1
1697,1
1698,2
1699,1
1700,4
1701,4
1702,4
1703,2
1704,3
1705,1
1706,3
1707,2
1708,2
1709,5
1710,3
1711,1
1712,5
1713,1
1714,5
1715,1
1716,1
1717,4
1718,2
1719,3
1720,3
1721,1
1722,4
1723,2
1725,3
1726,1
1727,3
1728,1
1729,2
1730,2
1732,2
1733,3
1734,3
1735,2
1736,3
1737,5
1738,2
1740,3
1741,5
1742,2
1743,2
1744,4
1745,1
1746,4
1747,2
1748,1
1749,2
1750,2
1751,3
1752,2
1753,2
1754,1
1755,3
1756,1
1757,4
1758,3
1759,1
1760,2
1761,1
1762,1
1763,4
1764,1
1765,1
1766,2
1767,3
1768,4
1769,4
1770,3
1771,2
1772,2
1773,3
1774,2
1775,2
1776,1
1777,3
1778,2
1779,3
1780,1
1781,1
1782,1
1783,1
1784,3
1785,2
1786,4
1787,1
1788,1
1789,5
1790,2
1791,1
1792,1
1793,1
1794,2
1795,2
1796,3
1797,1
1798,2
1799,1
1800,5
1801,4
1802,2
1803,1
1804,3
1805,2
1806,2
1807,1
1808,1
1809,1
1810,1
1811,2
1812,2
1813,1
1814,1
1815,5
1816,1
1818,3
1819,4
1820,2
1821,3
1822,3
1823,1
1824,1
1825,3
1826,1
1827,1
1829,2
1830,1
1831,3
1832,5
1833,1
1834,2
1835,3
1836,4
1837,1
1838,1
1839,2
1840,5
1841,4
1842,2
1843,3
1844,3
1845,3
1846,2
1847,3
1848,1
1850,1
1852,2
1853,2
1854,5
1855,1
1856,1
1858,1
1859,2
1860,2
1861,2
1862,4
1863,2
1864,3
1865,2
1866,2
1867,3
1868,2
1869,3
1870,1
1871,3
1872,3
1873,1
1874,3
1875,1
1876,1
1877,3
1878,2
1879,2
1880,1
1881,4
1882,1
1883,5
1884,1
1885,1
1886,3
1887,1
1888,1
1890,2
1891,2
1892,4
1893,2
1894,3
1895,2
1896,4
1898,2
1899,3
1900,4
1901,1
1902,3
1903,2
1904,5
1905,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,2
1913,1
1914,4
1915,2
1916,3
1917,5
1918,1
1920,5
1921,2
1922,3
1923,2
1924,2
1925,3
1926,3
1927,3
1928,1
1929,1
1930,2
1931,2
1932,1
1933,1
1934,1
1936,1
1937,5
1938,1
1939,3
1940,1
1941,4
1942,2
1943,3
1944,2
1945,4
1946,1
1947,3
1948,5
1949,1
1950,3
1951,1
1952,1
1953,1
1954,4
1955,2
1956,1
1957,1
1958,4
1959,3
1960,2
1961,2
1963,5
1964,1
1965,1
1966,3
1967,1
1968,2
1969,2
1970,2
1971,1
1972,3
1973,4
1974,2
1975,3
1976,2
1977,4
1978,5
1979,2
1980,2
1981,3
1982,5
1983,2
1984,2
1985,1
1986,2
1987,1
1988,2
1989,1
1990,3
1991,1
1992,4
1993,2
1994,4
1995,4
1996,3
1997,2
1998,1
1999,1
2001,1
2002,1
2003,2
2004,1
2005,2
2006,1
2007,2
2008,1
2009,2
2010,1
2011,4
2012,1
2013,1
2014,1
2015,4
2016,2
2017,2
2018,1
2019,1
2020,3
2021,3
2022,1
2023,1
2024,1
2025,2
2026,3
2027,2
2028,1
2029,2
2030,2
2031,1
2033,2
2035,2
2036,1
2037,5
2038,4
2040,1
2041,5
2042,5
2043,4
2044,2
2045,1
2046,1
2047,1
2048,2
2049,4
2050,2
2051,1
2052,3
2053,5
2054,3
2055,2
2056,3
2057,5
2058,5
2060,4
2061,4
2062,1
2063,1
2064,2
2065,1
2066,4
2067,5
2068,1
2069,2
2070,1
2071,3
2072,2
2073,1
2074,1
2075,1
2076,2
2077,4
2078,3
2079,1
2081,5
2082,1
2083,1
2084,2
2085,2
2086,3
2087,4
2088,1
2090,1
2092,1
2093,3
2094,1
2095,3
2096,5
2097,2
2098,1
2099,2
2100,1
2101,1
2102,1
2103,3
2104,1
2105,3
2106,4
2107,2
2108,1
2109,1
2111,2
2112,1
2113,2
2114,5
2115,5
2116,3
2117,1
2119,1
2120,2
2121,1
2122,3
2123,4
2124,1
2125,1
2126,1
2127,1
2128,2
2129,5
2130,3
2131,2
2132,2
2133,3
2134,2
2135,1
2136,4
2137,1
2138,2
2139,1
2140,3
2141,1
2142,2
2143,4
2144,5
2145,5
2146,2
2147,1
2148,1
2149,1
2150,3
2151,3
2152,1
2153,3
2154,2
2155,2
2156,2
2157,2
2158,5
2159,3
2160,1
2161,1
2162,2
2163,2
2164,1
2165,1
2166,1
2167,1
2168,2
2169,1
2170,2
2171,1
2173,2
2174,1
2175,1
2176,2
2177,1
2178,2
2179,1
2180,4
2181,3
2182,1
2184,2
2185,5
2186,1
2187,1
2188,1
2189,2
2190,1
2191,2
2192,3
2193,2
2194,1
2195,1
2197,3
2200,4
2201,1
2202,1
2203,1
2204,3
2205,4
2206,3
2207,1
2208,2
2209,2
2210,1
2211,1
2212,2
2213,1
2214,2
2215,4
2216,2
2217,1
2218,5
2219,2
2220,1
2221,1
2222,2
2223,4
2224,2
2225,2
2226,3
2227,1
2228,3
2229,4
2230,1
2231,3
2233,3
2234,2
2235,2
2236,2
2237,3
2238,1
2239,2
2241,1
2242,3
2243,1
2244,5
2245,3
2246,2
2247,1
2248,1
2249,3
2250,1
2251,1
2252,2
2253,1
2254,4
2255,1
2256,2
2258,2
2259,2
2260,5
2261,1
2262,4
2263,5
2264,3
2265,1
2266,5
2267,3
2268,4
2269,4
2270,1
2271,5
2272,2
2273,2
2274,2
2275,2
2276,2
2277,1
2278,2
2279,2
2280,2
2281,2
2282,3
2283,3
2284,2
2285,3
2286,2
2287,2
2288,5
2289,3
2290,1
2291,1
2292,2
2293,2
2294,4
2295,1
2296,3
2297,3
2298,4
2299,3
2300,4
2301,1
2303,5
2304,3
2305,3
2306,5
2307,2
2308,1
2309,3
2310,3
2311,2
2312,2
2313,1
2315,3
2317,3
2318,3
2319,1
2320,1
2321,3
2322,2
2323,1
2324,4
2325,2
2326,2
2327,3
2328,1
2329,3
2330,4
2331,3
2332,1
2333,3
2334,2
2335,1
2336,2
2337,4
2338,4
2339,1
2340,2
2341,3
2342,3
2343,3
2344,1
2345,1
2346,1
2347,5
2348,1
2349,1
2350,5
2351,1
2352,2
2353,3
2354,3
2355,1
2356,2
2357,1
2358,1
2359,2
2360,2
2361,5
2362,1
2363,4
2364,2
2365,3
2367,1
2369,3
2370,1
2371,2
2372,2
2373,3
2374,1
2375,3
2376,3
2377,1
2378,1
2381,3
2382,1
2383,2
2384,1
2385,2
2387,2
2388,2
2389,1
2390,4
2391,3
2392,2
2393,1
2394,3
2395,1
2396,2
2397,1
2398,4
2399,1
2400,5
2401,1
2402,1
2404,1
2405,2
2406,3
2407,1
2408,1
2410,2
2411,1
2412,2
2413,5
2414,2
2415,1
2416,2
2417,2
2419,1
2420,3
2421,1
2422,2
2424,1
2425,2
2426,4
2427,3
2428,1
2429,1
2430,5
2431,1
2432,1
2433,1
2434,4
2435,1
2436,2
2437,3
2438,1
2439,1
2440,3
2441,2
2442,5
2443,1
2445,2
2446,2
2447,1
2448,4
2449,2
2450,2
2452,2
2453,5
2454,1
2455,1
2456,1
2457,5
2458,1
2459,1
2460,2
2463,4
2464,1
2465,1
2466,4
2467,1
2468,3
2470,2
2471,3
2472,1
2473,2
2474,1
2475,3
2476,2
2477,3
2478,2
2479,2
2480,2
2481,4
2482,5
2483,3
2484,1
2485,3
2486,2
2487,1
2488,1
2489,5
2490,4
2491,2
2493,5
2494,1
2495,4
2497,3
2498,4
2500,4
2501,3
2503,2
2504,2
2505,2
2506,2
2507,1
2508,2
2509,1
2510,3
2511,3
2512,2
2513,3
2514,3
2515,2
2516,3
2517,1
2518,2
2519,3
2521,2
2522,2
2523,2
2524,2
2525,2
2526,1
2527,1
2528,3
2529,3
2530,1
2531,4
2532,3
2533,1
2534,1
2535,4
2536,1
2537,2
2538,3
2539,2
2540,5
2541,4
2542,1
2543,1
2544,1
2545,5
2546,1
2547,1
2549,5
2550,4
2551,2
2552,1
2553,4
2554,2
2555,1
2556,5
2557,1
2558,3
2559,2
2560,1
2561,1
2562,3
2563,1
2564,4
2565,1
2566,2
2567,2
2568,1
2571,1
2572,2
2573,1
2574,3
2575,3
2576,2
2577,5
2578,1
2579,4
2580,1
2581,1
2582,2
2583,1
2584,1
2585,1
2586,1
2587,1
2588,2
2589,5
2590,1
2591,2
2592,2
2593,1
2594,1
2595,2
2596,5
2597,2
2598,1
2599,4
2600,3
2601,4
2602,3
2603,2
2604,1
2605,1
2607,2
2608,4
2609,4
2610,1
2611,1
2612,1
2613,1
2614,2
2615,3
2616,3
2617,3
2618,2
2619,3
2620,1
2621,2
2622,2
2623,2
2624,2
2625,2
2626,2
2627,4
2628,4
2629,1
2630,5
2631,3
2632,1
2633,2
2634,4
2635,3
2636,1
2637,2
2638,3
2639,1
2640,2
2641,2
2642,3
2643,2
2644,1
2645,2
2646,1
2647,2
2649,2
2650,3
2651,2
2652,3
2653,1
2654,1
2655,2
2656,3
2657,1
2659,1
2660,1
2661,4
2662,1
2663,1
2664,1
2665,2
2666,3
2667,1
2668,2
2669,5
2670,2
2671,1
2672,2
2673,1
2674,2
2675,1
2676,1
2677,4
2678,2
2681,4
2682,2
2683,3
2684,3
2686,1
2687,1
2688,2
2689,1
2690,3
2691,2
2692,2
2693,3
2694,1
2695,1
2696,2
2697,1
2698,1
2699,1
2701,4
2702,1
2703,1
2704,2
2705,2
2706,1
2707,1
2708,3
2709,1
2710,1
2711,1
2712,3
2713,1
2714,2
2716,2
2717,4
2718,3
2719,5
2720,4
2721,2
2722,3
2723,5
2724,2
2725,5
2726,2
2727,1
2728,1
2729,4
2730,1
2731,2
2732,1
2733,4
2734,1
2735,3
2736,4
2737,2
2738,2
2739,2
2740,1
2741,2
2742,4
2743,2
2744,2
2745,2
2746,2
2747,2
2748,1
2749,3
2750,4
2751,4
2752,1
2753,1
2754,1
2755,2
2756,3
2758,1
2759,5
2760,2
2761,1
2762,2
2763,1
2764,1
2765,3
2766,3
2767,1
2768,2
2769,1
2770,1
2771,1
2772,3
2773,2
2774,3
2775,4
2776,2
2777,1
2778,3
2779,2
2780,1
2781,4
2783,5
2785,3
2786,1
2787,3
2788,2
2789,3
2790,1
2791,1
2792,3
2793,4
2794,1
2795,2
2796,2
2797,4
2798,1
2799,1
2800,2
2801,3
2802,1
2803,5
2804,3
2805,3
2806,2
2807,2
2808,2
2809,4
2810,3
2811,3
2812,1
2814,2
2815,1
2816,2
2817,1
2818,1
2819,3
2820,3
2821,3
2822,5
2823,1
2824,4
2825,1
2826,2
2827,2
2828,2
2829,1
2830,2
2831,1
2832,4
2833,2
2834,2
2835,2
2836,2
2837,2
2838,3
2839,1
2840,4
2841,1
2842,4
2843,2
2844,2
2845,3
2846,1
2847,1
2848,2
2849,2
2850,2
2851,1
2852,2
2853,3
2854,2
2855,2
2856,5
2857,3
2858,2
2859,1
2860,1
2861,2
2862,2
2863,5
2864,1
2865,4
2866,2
2867,2
2869,1
2871,2
2872,1
2873,2
2874,1
2875,2
2876,1
2877,5
2878,2
2880,3
2881,1
2882,1
2883,1
2884,3
2885,1
2886,1
2887,1
2888,1
2889,3
2890,4
2891,2
2892,3
2893,1
2894,3
2895,2
2896,2
2897,2
2898,2
2899,2
2900,2
2901,1
2902,5
2903,2
2904,1
2905,4
2906,3
2907,5
2908,5
2909,2
2910,4
2911,1
2912,1
2913,2
2914,4
2915,4
2916,3
2917,2
2918,2
2919,2
2920,3
2921,1
2922,1
2925,2
2926,5
2927,5
2928,3
2929,5
2930,2
2931,3
2932,1
2933,2
2934,1
2935,5
2936,3
2937,3
2938,2
2939,5
2940,2
2941,3
2942,1
2943,1
2944,1
2945,1
2947,2
2948,5
2949,3
2950,4
2951,2
2952,1
2953,3
2954,2
2955,3
2957,4
2958,2
2959,4
2960,1
2961,1
2962,4
2963,1
2965,3
2966,2
2967,4
2968,3
2969,2
2971,2
2972,4
2973,3
2974,1
2975,2
2976,1
2977,1
2978,1
2980,4
2981,4
2982,4
2983,1
2985,2
2986,5
2987,3
2988,4
2989,1
2991,3
2992,3
2993,2
2994,5
2995,2
2996,1
2997,3
2998,4
2999,2
3000,1
3001,1
3002,4
3003,4
3004,1
3005,2
3006,2
3007,1
3008,3
3009,2
3010,3
3011,3
3012,2
3013,4
3014,1
3015,1
3016,2
3017,3
3018,5
3019,1
3020,2
3021,1
3022,2
3023,1
3024,4
3025,1
3027,4
3028,3
3029,2
3030,3
3031,2
3032,1
3033,4
3034,4
3035,2
3036,2
3037,2
3038,1
3039,4
3040,1
3041,1
3043,1
3044,1
3045,3
3046,2
3047,2
3048,1
3049,1
3050,4
3051,2
3052,3
3053,5
3054,3
3055,1
3057,4
3058,1
3059,2
3060,1
3061,4
3062,4
3063,3
3064,3
3065,5
3066,4
3067,1
3068,1
3069,1
3070,1
3071,3
3072,1
3073,1
3074,2
3075,2
3076,4
3077,4
3078,5
3079,2
3080,1
3081,5
3082,3
3083,3
3084,2
3085,3
3086,1
3088,1
3089,1
3090,1
3092,1
3093,1
3094,2
3095,3
3096,1
3097,1
3098,2
3099,4
3101,5
3103,2
3105,4
3106,2
3107,1
3108,3
3109,5
3110,2
3111,4
3112,3
3113,1
3114,3
3115,1
3116,1
3117,1
3118,2
3119,2
3120,2
3121,2
3122,2
3123,2
3124,2
3126,2
3127,3
3128,4
3129,1
3130,3
3131,3
3132,1
3133,1
3134,1
3135,4
3136,3
3137,1
3138,1
3139,2
3140,2
3141,1
3142,1
3143,3
3144,2
3145,2
3146,2
3147,2
3148,2
3149,4
3150,2
3151,4
3152,3
3153,2
3154,5
3155,4
3156,3
3158,4
3160,1
3161,1
3162,3
3163,1
3164,1
3165,1
3166,2
3167,1
3168,1
3169,4
3170,5
3171,2
3172,2
3173,3
3174,2
3175,2
3176,3
3177,3
3179,3
3180,3
3181,1
3182,2
3183,1
3184,4
